Address
181-183 MACQUARIE ST HOBART 7000 
188 MACQUARIE ST HOBART 7000 
197 MACQUARIE ST HOBART 7000 
212-218 MACQUARIE ST HOBART 7000 
223 MACQUARIE ST HOBART 7000 
234 MACQUARIE ST HOBART 7000 
240 MACQUARIE ST HOBART 7000 
132 MACQUARIE ST HOBART 7000 
262 MACQUARIE ST HOBART 7000 
49 FITZROY CRES DYNNYRNE 7005 
53 FITZROY CRES DYNNYRNE 7005 
370 MACQUARIE ST SOUTH HOBART 7004 
372-374 MACQUARIE ST SOUTH HOBART 7004 
2 GORE ST SOUTH HOBART 7004 
14 GORE ST SOUTH HOBART 7004 
364 HUON RD SOUTH HOBART 7004 
335A MACQUARIE ST SOUTH HOBART 7004 
337 MACQUARIE ST SOUTH HOBART 7004 
341 MACQUARIE ST SOUTH HOBART 7004 
395 MACQUARIE ST SOUTH HOBART 7004 
417-417A MACQUARIE ST SOUTH HOBART 7004 
447 MACQUARIE ST SOUTH HOBART 7004 
475 MACQUARIE ST SOUTH HOBART 7004 
320 MACQUARIE ST SOUTH HOBART 7004 
324 MACQUARIE ST SOUTH HOBART 7004 
330 MACQUARIE ST SOUTH HOBART 7004 
362 MACQUARIE ST SOUTH HOBART 7004 
368 MACQUARIE ST SOUTH HOBART 7004 
384 MACQUARIE ST SOUTH HOBART 7004 
394 MACQUARIE ST SOUTH HOBART 7004 
14 WELD ST SOUTH HOBART 7004 
410-412 MACQUARIE ST SOUTH HOBART 7004 
414 MACQUARIE ST SOUTH HOBART 7004 
416-418 MACQUARIE ST SOUTH HOBART 7004 
422 MACQUARIE ST SOUTH HOBART 7004 
430 MACQUARIE ST SOUTH HOBART 7004 
436 MACQUARIE ST SOUTH HOBART 7004 
450-454 MACQUARIE ST SOUTH HOBART 7004 
29 MCKELLAR ST SOUTH HOBART 7004 
2 PAGET ST SOUTH HOBART 7004 
6 PAGET ST SOUTH HOBART 7004 
6 ROMILLY ST SOUTH HOBART 7004 
12 WASHINGTON ST SOUTH HOBART 7004 
10 WASHINGTON ST SOUTH HOBART 7004 
25 WELD ST SOUTH HOBART 7004 
4 WELD ST SOUTH HOBART 7004 
20 WASHINGTON ST SOUTH HOBART 7004 
38 WELLESLEY ST SOUTH HOBART 7004 
50 WENTWORTH ST SOUTH HOBART 7004 
21 ALLISON ST WEST HOBART 7000 
43 BARRACK ST HOBART 7000 
47 BARRACK ST HOBART 7000 
61 BARRACK ST HOBART 7000 
65 BARRACK ST HOBART 7000 
75 BARRACK ST HOBART 7000 
85 BARRACK ST HOBART 7000 
99 BARRACK ST HOBART 7000 
House HOBART 7000 
58 BARRACK ST HOBART 7000 
64 BARRACK ST HOBART 7000 
55 BARRACK ST HOBART 7000 
4 BARTON AVE WEST HOBART 7000 
153 BATHURST ST HOBART 7000 
155 BATHURST ST HOBART 7000 
157 BATHURST ST HOBART 7000 
159 BATHURST ST HOBART 7000 
163 BATHURST ST HOBART 7000 
169 BATHURST ST HOBART 7000 
173 BATHURST ST HOBART 7000 
181 BATHURST ST HOBART 7000 
185 BATHURST ST WEST HOBART 7000 
207 BATHURST ST WEST HOBART 7000 
239 BATHURST ST WEST HOBART 7000 
249B BATHURST ST WEST HOBART 7000 
249A BATHURST ST WEST HOBART 7000 
Aquarius Court BATHURST ST WEST HOBART 7000 
253 BATHURST ST WEST HOBART 7000 
176 BATHURST ST HOBART 7000 
188 BATHURST ST WEST HOBART 7000 
198 BATHURST ST WEST HOBART 7000 
206 BATHURST ST WEST HOBART 7000 
234-236 BATHURST ST WEST HOBART 7000 
238 BATHURST ST WEST HOBART 7000 
246 BATHURST ST WEST HOBART 7000 
252-254 BATHURST ST WEST HOBART 7000 
290 BATHURST ST WEST HOBART 7000 
292 BATHURST ST WEST HOBART 7000 
304-306 BATHURST ST WEST HOBART 7000 
316 BATHURST ST WEST HOBART 7000 
308 BATHURST ST WEST HOBART 7000 
16 BONNINGTON RD WEST HOBART 7000 
205 BRISBANE ST WEST HOBART 7000 
94 BARRACK ST HOBART 7000 
2 BROWNE ST WEST HOBART 7000 
10 BROWNE ST WEST HOBART 7000 
100 BURNETT ST NORTH HOBART 7000 
81-83 BURNETT ST NORTH HOBART 7000 
12 CANE ST WEST HOBART 7000 
11 CAVELL ST WEST HOBART 7000 
21 CAVELL ST WEST HOBART 7000 
39 CAVELL ST WEST HOBART 7000 
41 CAVELL ST WEST HOBART 7000 
9 FARADAY ST WEST HOBART 7000 
27 DEGRAVES ST SOUTH HOBART 7004 
25-27 FOREST RD WEST HOBART 7000 
41 FOREST RD WEST HOBART 7000 
4-10 FOREST RD WEST HOBART 7000 
40 FOREST RD WEST HOBART 7000 
48 FOREST RD WEST HOBART 7000 
54 FOREST RD WEST HOBART 7000 
72 FOREST RD WEST HOBART 7000 
106 FOREST RD WEST HOBART 7000 
126-146 GOULBURN ST WEST HOBART 7000 
15 FREDERICK ST WEST HOBART 7000 
18 FREDERICK ST WEST HOBART 7000 
26A FREDERICK ST WEST HOBART 7000 
37 GOULBURN ST HOBART 7000 
43 GOULBURN ST HOBART 7000 
77 GOULBURN ST HOBART 7000 
83 GOULBURN ST HOBART 7000 
95 GOULBURN ST WEST HOBART 7000 
125 GOULBURN ST WEST HOBART 7000 
149 GOULBURN ST WEST HOBART 7000 
155 GOULBURN ST WEST HOBART 7000 
159 GOULBURN ST WEST HOBART 7000 
175 GOULBURN ST WEST HOBART 7000 
195 GOULBURN ST WEST HOBART 7000 
24 GOULBURN ST HOBART 7000 
30 GOULBURN ST HOBART 7000 
42 GOULBURN ST HOBART 7000 
46-56 BARRACK ST HOBART 7000 
58 GOULBURN ST HOBART 7000 
94 GOULBURN ST HOBART 7000 
114 GOULBURN ST WEST HOBART 7000 
120 GOULBURN ST WEST HOBART 7000 
150 GOULBURN ST WEST HOBART 7000 
152 GOULBURN ST WEST HOBART 7000 
53 HAMILTON ST WEST HOBART 7000 
30 HAMILTON ST WEST HOBART 7000 
146 HARRINGTON ST HOBART 7000 
152 HARRINGTON ST HOBART 7000 
156 HARRINGTON ST HOBART 7000 
158 HARRINGTON ST HOBART 7000 
160 HARRINGTON ST HOBART 7000 
164 HARRINGTON ST HOBART 7000 
180 HARRINGTON ST HOBART 7000 
206 HARRINGTON ST HOBART 7000 
240 HARRINGTON ST HOBART 7000 
242 HARRINGTON ST HOBART 7000 
262 HARRINGTON ST HOBART 7000 
15 HILL ST WEST HOBART 7000 
25 HILL ST WEST HOBART 7000 
43 HILL ST WEST HOBART 7000 
69 HILL ST WEST HOBART 7000 
18 HILL ST WEST HOBART 7000 
16 HILL ST WEST HOBART 7000 
24 HILL ST WEST HOBART 7000 
107-109 HILL ST WEST HOBART 7000 
3 HILLSIDE CRES WEST HOBART 7000 
45 LANSDOWNE CRES WEST HOBART 7000 
49 LANSDOWNE CRES WEST HOBART 7000 
65 LANSDOWNE CRES WEST HOBART 7000 
81 LANSDOWNE CRES WEST HOBART 7000 
117 LANSDOWNE CRES WEST HOBART 7000 
9 LITTLE ARTHUR ST NORTH HOBART 7000 
335 LIVERPOOL ST WEST HOBART 7000 
337 LIVERPOOL ST WEST HOBART 7000 
347 LIVERPOOL ST WEST HOBART 7000 
355 LIVERPOOL ST WEST HOBART 7000 
371 LIVERPOOL ST WEST HOBART 7000 
403 LIVERPOOL ST WEST HOBART 7000 
322 LIVERPOOL ST WEST HOBART 7000 
328 LIVERPOOL ST WEST HOBART 7000 
330 LIVERPOOL ST WEST HOBART 7000 
336 LIVERPOOL ST WEST HOBART 7000 
348 LIVERPOOL ST WEST HOBART 7000 
64 LOCHNER ST WEST HOBART 7000 
6 MARY ST NORTH HOBART 7000 
14 MARY ST NORTH HOBART 7000 
16 MARY ST NORTH HOBART 7000 
177 MELVILLE ST WEST HOBART 7000 
195 MELVILLE ST WEST HOBART 7000 
203 MELVILLE ST WEST HOBART 7000 
209-213 MELVILLE ST WEST HOBART 7000 
158 MELVILLE ST HOBART 7000 
166 MELVILLE ST WEST HOBART 7000 
196 MELVILLE ST WEST HOBART 7000 
206 MELVILLE ST WEST HOBART 7000 
216-220 MELVILLE ST WEST HOBART 7000 
97 MOLLE ST HOBART 7000 
105-107 MOLLE ST HOBART 7000 
103 MOLLE ST HOBART 7000 
99 MOLLE ST HOBART 7000 
96 MOLLE ST WEST HOBART 7000 
110 MOLLE ST WEST HOBART 7000 
295 MURRAY ST NORTH HOBART 7000 
308 MURRAY ST NORTH HOBART 7000 
364-374 MURRAY ST NORTH HOBART 7000 
380 MURRAY ST NORTH HOBART 7000 
109 PATRICK ST WEST HOBART 7000 
111 PATRICK ST WEST HOBART 7000 
151 PATRICK ST WEST HOBART 7000 
157 PATRICK ST WEST HOBART 7000 
11 PINE ST WEST HOBART 7000 
2 PITT ST NORTH HOBART 7000 
8 PITT ST NORTH HOBART 7000 
14 PITT ST NORTH HOBART 7000 
4 PROSPECT PL WEST HOBART 7000 
1 ROBERTS ST WEST HOBART 7000 
5 ROBERTS ST WEST HOBART 7000 
11 ROBERTS ST WEST HOBART 7000 
8 ROBERTS ST WEST HOBART 7000 
41 SALVATOR RD WEST HOBART 7000 
19 SUMMERHILL RD WEST HOBART 7000 
59 TASMA ST NORTH HOBART 7000 
69 TASMA ST NORTH HOBART 7000 
113 WARWICK ST WEST HOBART 7000 
119 WARWICK ST WEST HOBART 7000 
124 WARWICK ST WEST HOBART 7000 
128 WARWICK ST WEST HOBART 7000 
12 WILLIAM ST WEST HOBART 7000 
30 WILLIAM ST WEST HOBART 7000 
10A ALBUERA ST BATTERY POINT 7004 
16 STAR ST SANDY BAY 7005 
1 CEDAR CT SANDY BAY 7005 
536 CHURCHILL AVE SANDY BAY 7005 
1 HEATHFIELD AVE HOBART 7000 
13 PATERNOSTER ROW HOBART 7000 
7 PATERNOSTER ROW HOBART 7000 
54 WENTWORTH ST SOUTH HOBART 7004 
3 VICTORIA ST HOBART 7000 
17 CASCADE RD SOUTH HOBART 7004 
19 AUDLEY ST NORTH HOBART 7000 
59-63 LIVERPOOL ST HOBART 7000 
112 MURRAY ST HOBART 7000 
7 WATCHORN ST HOBART 7000 
107 BROOKER AVE GLEBE 7000 
109 BROOKER AVE GLEBE 7000 
15 HUNTER ST HOBART 7000 
9 WENDOVER PL NEW TOWN 7008 
144 ARGYLE ST HOBART 7000 
127 ARGYLE ST HOBART 7000 
149 CAMPBELL ST HOBART 7000 
146 CAMPBELL ST HOBART 7000 
144 CAMPBELL ST HOBART 7000 
108 CAMPBELL ST HOBART 7000 
106 CAMPBELL ST HOBART 7000 
195 CAMPBELL ST HOBART 7000 
103 CAMPBELL ST HOBART 7000 
30 RUNNYMEDE ST BATTERY POINT 7004 
32 RUNNYMEDE ST BATTERY POINT 7004 
34 RUNNYMEDE ST BATTERY POINT 7004 
36 RUNNYMEDE ST BATTERY POINT 7004 
38 RUNNYMEDE ST BATTERY POINT 7004 
40 RUNNYMEDE ST BATTERY POINT 7004 
41 RUNNYMEDE ST BATTERY POINT 7004 
42 RUNNYMEDE ST BATTERY POINT 7004 
44 RUNNYMEDE ST BATTERY POINT 7004 
45 RUNNYMEDE ST BATTERY POINT 7004 
43 RUNNYMEDE ST BATTERY POINT 7004 
47 RUNNYMEDE ST BATTERY POINT 7004 
49 RUNNYMEDE ST BATTERY POINT 7004 
51 RUNNYMEDE ST BATTERY POINT 7004 
53 RUNNYMEDE ST BATTERY POINT 7004 
36 SOUTH ST BATTERY POINT 7004 
55 RUNNYMEDE ST BATTERY POINT 7004 
20 GROSVENOR ST SANDY BAY 7005 
22 GROSVENOR ST SANDY BAY 7005 
75-77 KING ST SANDY BAY 7005 
79-81 KING ST SANDY BAY 7005 
12 LORD ST SANDY BAY 7005 
14A LORD ST SANDY BAY 7005 
16 LORD ST SANDY BAY 7005 
20 LORD ST SANDY BAY 7005 
22 LORD ST SANDY BAY 7005 
26 LORD ST SANDY BAY 7005 
1 LORD ST SANDY BAY 7005 
3 LORD ST SANDY BAY 7005 
5A LORD ST SANDY BAY 7005 
7 LORD ST SANDY BAY 7005 
9 LORD ST SANDY BAY 7005 
13 LORD ST SANDY BAY 7005 
88 QUEEN ST SANDY BAY 7005 
90 QUEEN ST SANDY BAY 7005 
96 QUEEN ST SANDY BAY 7005 
104-106 QUEEN ST SANDY BAY 7005 
306 SANDY BAY RD SANDY BAY 7005 
50 WELLINGTON ST NORTH HOBART 7000 
18 SWAN ST NORTH HOBART 7000 
22 SWAN ST NORTH HOBART 7000 
22A SWAN ST NORTH HOBART 7000 
30 SWAN ST NORTH HOBART 7000 
4 SWAN ST NORTH HOBART 7000 
6 SWAN ST NORTH HOBART 7000 
8 SWAN ST NORTH HOBART 7000 
10 SWAN ST NORTH HOBART 7000 
12 SWAN ST NORTH HOBART 7000 
14 SWAN ST NORTH HOBART 7000 
17 SWAN ST NORTH HOBART 7000 
19 SWAN ST NORTH HOBART 7000 
21 SWAN ST NORTH HOBART 7000 
21 PITT ST NORTH HOBART 7000 
9 GEORGE ST NORTH HOBART 7000 
11 GEORGE ST NORTH HOBART 7000 
136 BRISBANE ST HOBART 7000 
208 BATHURST ST WEST HOBART 7000 
212 BATHURST ST WEST HOBART 7000 
214 BATHURST ST WEST HOBART 7000 
218 BATHURST ST WEST HOBART 7000 
220 BATHURST ST WEST HOBART 7000 
187-189 BATHURST ST WEST HOBART 7000 
191 BATHURST ST WEST HOBART 7000 
193 BATHURST ST WEST HOBART 7000 
195 BATHURST ST WEST HOBART 7000 
197 BATHURST ST WEST HOBART 7000 
241 BATHURST ST WEST HOBART 7000 
259 BATHURST ST WEST HOBART 7000 
164 LIVERPOOL ST HOBART 7000 
166 LIVERPOOL ST HOBART 7000 
240 BATHURST ST WEST HOBART 7000 
15 GOULBURN ST HOBART 7000 
21 GOULBURN ST HOBART 7000 
165 HARRINGTON ST HOBART 7000 
23 GREGORY ST SANDY BAY 7005 
8-10 GREGORY ST SANDY BAY 7005 
127 GOULBURN ST WEST HOBART 7000 
3A SCOTT ST GLEBE 7000 
55 LANSDOWNE CRES WEST HOBART 7000 
118A GOULBURN ST WEST HOBART 7000 
1 116 GOULBURN ST WEST HOBART 7000 
108 GOULBURN ST WEST HOBART 7000 
96 GOULBURN ST HOBART 7000 
40 GOULBURN ST HOBART 7000 
38 GOULBURN ST HOBART 7000 
36 GOULBURN ST HOBART 7000 
34 GOULBURN ST HOBART 7000 
32 GOULBURN ST HOBART 7000 
26 GOULBURN ST HOBART 7000 
105 GOULBURN ST WEST HOBART 7000 
31-35 SALAMANCA PL BATTERY POINT 7004 
11 ROSE CT SANDY BAY 7005 
12 ROSE CT SANDY BAY 7005 
6 STOWELL AVE BATTERY POINT 7004 
147 CAMPBELL ST HOBART 7000 
13 LILLIE ST GLEBE 7000 
218 CAMPBELL ST NORTH HOBART 7000 
220 CAMPBELL ST NORTH HOBART 7000 
110 CAMPBELL ST HOBART 7000 
125 ARGYLE ST HOBART 7000 
6 DAVENPORT ST GLEBE 7000 
8 DAVENPORT ST GLEBE 7000 
151 CAMPBELL ST HOBART 7000 
227 MACQUARIE ST HOBART 7000 
260 MACQUARIE ST HOBART 7000 
276 MACQUARIE ST SOUTH HOBART 7004 
18 PATERNOSTER ROW HOBART 7000 
65 PATRICK ST HOBART 7000 
127 LIVERPOOL ST HOBART 7000 
129 LIVERPOOL ST HOBART 7000 
56 GEORGE ST NORTH HOBART 7000 
54 GEORGE ST NORTH HOBART 7000 
52 GEORGE ST NORTH HOBART 7000 
50 GEORGE ST NORTH HOBART 7000 
48 GEORGE ST NORTH HOBART 7000 
46 GEORGE ST NORTH HOBART 7000 
38 GEORGE ST NORTH HOBART 7000 
35 FELTHAM ST NORTH HOBART 7000 
37 FELTHAM ST NORTH HOBART 7000 
7 LETITIA ST NORTH HOBART 7000 
13 LETITIA ST NORTH HOBART 7000 
42 NEW TOWN RD NEW TOWN 7008 
163A CAMPBELL ST HOBART 7000 
163 CAMPBELL ST HOBART 7000 
161 CAMPBELL ST HOBART 7000 
159 CAMPBELL ST HOBART 7000 
109 ELIZABETH ST HOBART 7000 
255 MACQUARIE ST HOBART 7000 
253 MACQUARIE ST HOBART 7000 
115-117 BROOKER AVE GLEBE 7000 
119 BROOKER AVE GLEBE 7000 
121 BROOKER AVE GLEBE 7000 
123 BROOKER AVE GLEBE 7000 
127 BROOKER AVE GLEBE 7000 
129 BROOKER AVE GLEBE 7000 
131 BROOKER AVE GLEBE 7000 
133 BROOKER AVE GLEBE 7000 
135 BROOKER AVE GLEBE 7000 
137 BROOKER AVE GLEBE 7000 
139 BROOKER AVE GLEBE 7000 
141 BROOKER AVE GLEBE 7000 
143 BROOKER AVE GLEBE 7000 
11 CHURCH ST HOBART 7000 
59 DAVEY ST HOBART 7000 
69 DAVEY ST HOBART 7000 
71 DAVEY ST HOBART 7000 
151 DAVEY ST HOBART 7000 
159 DAVEY ST HOBART 7000 
161 DAVEY ST HOBART 7000 
165-167 DAVEY ST HOBART 7000 
169 DAVEY ST HOBART 7000 
171 DAVEY ST HOBART 7000 
3 MARINE TCE BATTERY POINT 7004 
17 NAPOLEON ST BATTERY POINT 7004 
9 BARRACK ST HOBART 7000 
6 ANTILL ST SOUTH HOBART 7004 
8 ANTILL ST SOUTH HOBART 7004 
10 ANTILL ST SOUTH HOBART 7004 
14A CHURCH ST HOBART 7000 
6 ANDREW ST NORTH HOBART 7000 
8 ANDREW ST NORTH HOBART 7000 
10 ANDREW ST NORTH HOBART 7000 
356 ARGYLE ST NORTH HOBART 7000 
358 ARGYLE ST NORTH HOBART 7000 
360 ARGYLE ST NORTH HOBART 7000 
368 ARGYLE ST NORTH HOBART 7000 
39 BURNETT ST NORTH HOBART 7000 
75 BURNETT ST NORTH HOBART 7000 
49 BARRACK ST HOBART 7000 
165-167 BATHURST ST HOBART 7000 
171 BATHURST ST HOBART 7000 
4 BROWNE ST WEST HOBART 7000 
6 BROWNE ST WEST HOBART 7000 
8 BROWNE ST WEST HOBART 7000 
15 CAVELL ST WEST HOBART 7000 
26 FREDERICK ST WEST HOBART 7000 
30 FREDERICK ST WEST HOBART 7000 
97 GOULBURN ST WEST HOBART 7000 
99 GOULBURN ST WEST HOBART 7000 
62 FOREST RD WEST HOBART 7000 
64 FOREST RD WEST HOBART 7000 
42 PIRIE ST NEW TOWN 7008 
44 PIRIE ST NEW TOWN 7008 
46 PIRIE ST NEW TOWN 7008 
3 SHOOBRIDGE ST GLEBE 7000 
5 SHOOBRIDGE ST GLEBE 7000 
7 SHOOBRIDGE ST GLEBE 7000 
25-29 BATHURST ST HOBART 7000 
115 WARWICK ST WEST HOBART 7000 
117 WARWICK ST WEST HOBART 7000 
40 LANSDOWNE CRES WEST HOBART 7000 
40 MACQUARIE ST HOBART 7000 
19-21 DAVEY ST HOBART 7000 
3 DAVEY ST HOBART 7000 
130 WARWICK ST WEST HOBART 7000 
139 LIVERPOOL ST HOBART 7000 
36 TASMA ST NORTH HOBART 7000 
38 TASMA ST NORTH HOBART 7000 
25 WARWICK ST HOBART 7000 
27 WARWICK ST HOBART 7000 
29 WARWICK ST HOBART 7000 
13 LITTLE ARTHUR ST NORTH HOBART 7000 
15 LITTLE ARTHUR ST NORTH HOBART 7000 
17 LITTLE ARTHUR ST NORTH HOBART 7000 
339 LIVERPOOL ST WEST HOBART 7000 
341 LIVERPOOL ST WEST HOBART 7000 
343 LIVERPOOL ST WEST HOBART 7000 
351 LIVERPOOL ST WEST HOBART 7000 
405 LIVERPOOL ST WEST HOBART 7000 
338 LIVERPOOL ST WEST HOBART 7000 
340 LIVERPOOL ST WEST HOBART 7000 
344 LIVERPOOL ST WEST HOBART 7000 
65 LOCHNER ST WEST HOBART 7000 
67 LOCHNER ST WEST HOBART 7000 
44 LOCHNER ST WEST HOBART 7000 
46 LOCHNER ST WEST HOBART 7000 
60 LOCHNER ST WEST HOBART 7000 
160 MELVILLE ST HOBART 7000 
112 MOLLE ST WEST HOBART 7000 
19-21 CASTRAY ESP BATTERY POINT 7004 
84 LIVERPOOL ST HOBART 7000 
86 LIVERPOOL ST HOBART 7000 
88 LIVERPOOL ST HOBART 7000 
37 PITT ST NORTH HOBART 7000 
52 NEWDEGATE ST WEST HOBART 7000 
15 SCOTT ST GLEBE 7000 
107 NEWDEGATE ST WEST HOBART 7000 
12 WILMOT ST HOBART 7000 
5 HARRINGTON LANE HOBART 7000 
63A AUGUSTA RD LENAH VALLEY 7008 
22A SOUTH ST BATTERY POINT 7004 
19-27 CAMPBELL ST HOBART 7000 
6 MIDWOOD ST NEW TOWN 7008 
152 MELVILLE ST HOBART 7000 
154 MELVILLE ST HOBART 7000 
156 MELVILLE ST HOBART 7000 
29 MORRISON ST HOBART 7000 
20 MCVILLY DR QUEENS DOMAIN 7000 
34 ELIZABETH ST HOBART 7000 
36 ELIZABETH ST HOBART 7000 
18-26 BATHURST ST HOBART 7000 
43A MONTAGU ST LENAH VALLEY 7008 
129 HILL ST WEST HOBART 7000 
7 STONEY STEPS RD SOUTH HOBART 7004 
18 SCOTT ST GLEBE 7000 
10 PITT ST NORTH HOBART 7000 
16 PITT ST NORTH HOBART 7000 
11 SCOTT ST GLEBE 7000 
55A SANDY BAY RD BATTERY POINT 7004 
55B SANDY BAY RD BATTERY POINT 7004 
55C SANDY BAY RD BATTERY POINT 7004 
646A SANDY BAY RD SANDY BAY 7005 
91-95 MURRAY ST HOBART 7000 
56 CAMPBELL ST HOBART 7000 
3 SANDY BAY RD HOBART 7000 
410 SANDY BAY RD SANDY BAY 7005 
2 CHURCHILL AVE SANDY BAY 7005 
243 MACQUARIE ST HOBART 7000 
188 COLLINS ST HOBART 7000 
14-20 LEWIS ST NORTH HOBART 7000 
201 BATHURST ST WEST HOBART 7000 
17 MORRISON ST HOBART 7000 
7 BEACH RD SANDY BAY 7005 
9 BEACH RD SANDY BAY 7005 
85 BROOKER AVE GLEBE 7000 
35 BAY RD NEW TOWN 7008 
125 DAVEY ST HOBART 7000 
127 DAVEY ST HOBART 7000 
16-20 MOLLE ST HOBART 7000 
1 ABERDEEN ST GLEBE 7000 
4 ABERDEEN ST GLEBE 7000 
6 ABERDEEN ST GLEBE 7000 
8 ABERDEEN ST GLEBE 7000 
17 ABERDEEN ST GLEBE 7000 
18 ABERDEEN ST GLEBE 7000 
19 ABERDEEN ST GLEBE 7000 
20 ABERDEEN ST GLEBE 7000 
21 ABERDEEN ST GLEBE 7000 
27 ABERDEEN ST GLEBE 7000 
29 ABERDEEN ST GLEBE 7000 
14 TRUMPETER ST BATTERY POINT 7004 
1 BROWNE ST WEST HOBART 7000 
39 TOWER RD NEW TOWN 7008 
76 NAPOLEON ST BATTERY POINT 7004 
9 CASCADE RD SOUTH HOBART 7004 
11 CASCADE RD SOUTH HOBART 7004 
13 CASCADE RD SOUTH HOBART 7004 
19 CASCADE RD SOUTH HOBART 7004 
37 CASCADE RD SOUTH HOBART 7004 
39 CASCADE RD SOUTH HOBART 7004 
41 CASCADE RD SOUTH HOBART 7004 
2 MARKET PL HOBART 7000 
6-8 MARKET PL HOBART 7000 
4 MARKET PL HOBART 7000 
58 COLLINS ST HOBART 7000 
50A MURRAY ST HOBART 7000 
52 MURRAY ST HOBART 7000 
254-286 LIVERPOOL ST HOBART 7000 
52 MONTAGU ST NEW TOWN 7008 
17 LANSDOWNE CRES WEST HOBART 7000 
549 SANDY BAY RD SANDY BAY 7005 
16 NUTGROVE AVE SANDY BAY 7005 
552 SANDY BAY RD SANDY BAY 7005 
10 FISHER AVE SANDY BAY 7005 
1 FISHER LANE SANDY BAY 7005 
31 FISHER AVE SANDY BAY 7005 
44 WAIMEA AVE SANDY BAY 7005 
75 QUEEN ST SANDY BAY 7005 
31 DYNNYRNE RD DYNNYRNE 7005 
57 QUEEN ST SANDY BAY 7005 
2 KING ST SANDY BAY 7005 
4-8 ASHFIELD ST SANDY BAY 7005 
1 LINCOLN ST SANDY BAY 7005 
6 ELLINGTON RD SANDY BAY 7005 
479 SANDY BAY RD SANDY BAY 7005 
61 RED CHAPEL AVE SANDY BAY 7005 
239 SANDY BAY RD SANDY BAY 7005 
113 PRINCES ST SANDY BAY 7005 
42 PARLIAMENT ST SANDY BAY 7005 
24 GARDENIA GR SANDY BAY 7005 
2 ASHFIELD ST SANDY BAY 7005 
597 SANDY BAY RD SANDY BAY 7005 
700 NELSON RD MOUNT NELSON 7007 
98 SANDY BAY RD BATTERY POINT 7004 
19 GREGORY ST SANDY BAY 7005 
352 DAVEY ST SOUTH HOBART 7004 
5 FITZROY PL SANDY BAY 7005 
212 COLLINS ST HOBART 7000 
21 WELLINGTON ST NORTH HOBART 7000 
421 ELIZABETH ST NORTH HOBART 7000 
116 BATHURST ST HOBART 7000 
2 KELLY ST BATTERY POINT 7004 
1 FRANKLIN WHRF HOBART 7000 
3 MORRISON ST HOBART 7000 
88 ARGYLE ST HOBART 7000 
90 ARGYLE ST HOBART 7000 
47 HUNTER ST HOBART 7000 
18 HUNTER ST HOBART 7000 
93 ELIZABETH ST HOBART 7000 
165 ELIZABETH ST HOBART 7000 
48 COLVILLE ST BATTERY POINT 7004 
222 BATHURST ST WEST HOBART 7000 
170-174 NEW TOWN RD NEW TOWN 7008 
83 SALAMANCA PL BATTERY POINT 7004 
3 54 NAPOLEON ST BATTERY POINT 7004 
2 2C DERWENT LANE BATTERY POINT 7004 
6 13 MARINE TCE BATTERY POINT 7004 
6 BATTERY POINT 7004 
5 11 MARINE TCE BATTERY POINT 7004 
5 BATTERY POINT 7004 
2-10 CLARKE AVE BATTERY POINT 7000 
67-69 MACQUARIE ST HOBART 7000 
1 MONTPELIER RT BATTERY POINT 7004
157 MELVILLE ST HOBART 7000 
32 SYME ST SOUTH HOBART 7004 
31 APSLEY ST SOUTH HOBART 7004 
17 DEGRAVES ST SOUTH HOBART 7004 
19 DEGRAVES ST SOUTH HOBART 7004 
21 DEGRAVES ST SOUTH HOBART 7004 
40 DEGRAVES ST SOUTH HOBART 7004 
38 DEGRAVES ST SOUTH HOBART 7004 
36 DEGRAVES ST SOUTH HOBART 7004 
34 DEGRAVES ST SOUTH HOBART 7004 
18 DEGRAVES ST SOUTH HOBART 7004 
16 DEGRAVES ST SOUTH HOBART 7004 
8 DEGRAVES ST SOUTH HOBART 7004 
11 MCROBIES RD SOUTH HOBART 7004 
2 SYME ST SOUTH HOBART 7004 
2A SYME ST SOUTH HOBART 7004 
5 SYME ST SOUTH HOBART 7004 
7 SYME ST SOUTH HOBART 7004 
9 SYME ST SOUTH HOBART 7004 
13B MCROBIES RD SOUTH HOBART 7004 
2B SYME ST SOUTH HOBART 7004 
2 NEVIN ST SOUTH HOBART 7004 
1 TARA ST SOUTH HOBART 7004 
23 SYME ST SOUTH HOBART 7004 
15 MCROBIES RD SOUTH HOBART 7004 
23 DEGRAVES ST SOUTH HOBART 7004 
15 DEGRAVES ST SOUTH HOBART 7004 
13 MCROBIES RD SOUTH HOBART 7004 
80 SWANSTON ST NEW TOWN 7008 
82 SWANSTON ST NEW TOWN 7008 
2A NUTGROVE AVE SANDY BAY 7005 
9 ST JOHNS AVE NEW TOWN 7008 
12 ST JOHNS AVE NEW TOWN 7008 
14 ST JOHNS AVE NEW TOWN 7008 
2 ST JOHNS AVE NEW TOWN 7008 
1 ST JOHNS AVE NEW TOWN 7008 
85 CREEK RD NEW TOWN 7008 
52 MELVILLE ST HOBART 7000 
145 HAMPDEN RD HOBART 7000 
25 CASTRAY ESP BATTERY POINT 7004 
27 CASTRAY ESP BATTERY POINT 7004 
341A MACQUARIE ST SOUTH HOBART 7004 
5 EVANS ST HOBART 7000 
17 HUNTER ST HOBART 7000 
19 HUNTER ST HOBART 7000 
19A HUNTER ST HOBART 7000 
3 EVANS ST HOBART 7000 
25 HUNTER ST HOBART 7000 
27 HUNTER ST HOBART 7000 
